"Kod";"Nazwa";"wypadki ogółem;1999;[szt.]";"wypadki ogółem;2000;[szt.]";"wypadki ogółem;2001;[szt.]";"wypadki ogółem;2002;[szt.]";"wypadki ogółem;2003;[szt.]";"wypadki ogółem;2004;[szt.]";"wypadki ogółem;2005;[szt.]";"wypadki ogółem;2006;[szt.]";"wypadki ogółem;2007;[szt.]";"wypadki ogółem;2008;[szt.]";"wypadki ogółem;2009;[szt.]";"wypadki ogółem;2010;[szt.]";"wypadki ogółem;2011;[szt.]";"wypadki ogółem;2012;[szt.]";"wypadki ogółem;2013;[szt.]";"wypadki ogółem;2014;[szt.]";"wypadki ogółem;2015;[szt.]";"wypadki ogółem;2016;[szt.]";"wypadki ogółem;2017;[szt.]";"wypadki ogółem;2018;[szt.]";"wypadki ogółem;2019;[szt.]";"wypadki ogółem;2020;[szt.]";"wypadki ogółem;2021;[szt.]";"wypadki ogółem;2022;[szt.]";"wypadki ogółem;2023;[szt.]";"ofiary wypadków ogółem;1999;[osoba]";"ofiary wypadków ogółem;2000;[osoba]";"ofiary wypadków ogółem;2001;[osoba]";"ofiary wypadków ogółem;2002;[osoba]";"ofiary wypadków ogółem;2003;[osoba]";"ofiary wypadków ogółem;2004;[osoba]";"ofiary wypadków ogółem;2005;[osoba]";"ofiary wypadków ogółem;2006;[osoba]";"ofiary wypadków ogółem;2007;[osoba]";"ofiary wypadków ogółem;2008;[osoba]";"ofiary wypadków ogółem;2009;[osoba]";"ofiary wypadków ogółem;2010;[osoba]";"ofiary wypadków ogółem;2011;[osoba]";"ofiary wypadków ogółem;2012;[osoba]";"ofiary wypadków ogółem;2013;[osoba]";"ofiary wypadków ogółem;2014;[osoba]";"ofiary wypadków ogółem;2015;[osoba]";"ofiary wypadków ogółem;2016;[osoba]";"ofiary wypadków ogółem;2017;[osoba]";"ofiary wypadków ogółem;2018;[osoba]";"ofiary wypadków ogółem;2019;[osoba]";"ofiary wypadków ogółem;2020;[osoba]";"ofiary wypadków ogółem;2021;[osoba]";"ofiary wypadków ogółem;2022;[osoba]";"ofiary wypadków ogółem;2023;[osoba]";"ofiary śmiertelne;1999;[osoba]";"ofiary śmiertelne;2000;[osoba]";"ofiary śmiertelne;2001;[osoba]";"ofiary śmiertelne;2002;[osoba]";"ofiary śmiertelne;2003;[osoba]";"ofiary śmiertelne;2004;[osoba]";"ofiary śmiertelne;2005;[osoba]";"ofiary śmiertelne;2006;[osoba]";"ofiary śmiertelne;2007;[osoba]";"ofiary śmiertelne;2008;[osoba]";"ofiary śmiertelne;2009;[osoba]";"ofiary śmiertelne;2010;[osoba]";"ofiary śmiertelne;2011;[osoba]";"ofiary śmiertelne;2012;[osoba]";"ofiary śmiertelne;2013;[osoba]";"ofiary śmiertelne;2014;[osoba]";"ofiary śmiertelne;2015;[osoba]";"ofiary śmiertelne;2016;[osoba]";"ofiary śmiertelne;2017;[osoba]";"ofiary śmiertelne;2018;[osoba]";"ofiary śmiertelne;2019;[osoba]";"ofiary śmiertelne;2020;[osoba]";"ofiary śmiertelne;2021;[osoba]";"ofiary śmiertelne;2022;[osoba]";"ofiary śmiertelne;2023;[osoba]";"ranni;1999;[osoba]";"ranni;2000;[osoba]";"ranni;2001;[osoba]";"ranni;2002;[osoba]";"ranni;2003;[osoba]";"ranni;2004;[osoba]";"ranni;2005;[osoba]";"ranni;2006;[osoba]";"ranni;2007;[osoba]";"ranni;2008;[osoba]";"ranni;2009;[osoba]";"ranni;2010;[osoba]";"ranni;2011;[osoba]";"ranni;2012;[osoba]";"ranni;2013;[osoba]";"ranni;2014;[osoba]";"ranni;2015;[osoba]";"ranni;2016;[osoba]";"ranni;2017;[osoba]";"ranni;2018;[osoba]";"ranni;2019;[osoba]";"ranni;2020;[osoba]";"ranni;2021;[osoba]";"ranni;2022;[osoba]";"ranni;2023;[osoba]";
0200000;"DOLNOŚLĄSKIE";;3785;3552;3242;2960;2987;3149;3030;3115;3003;2668;2294;2973;3221;2586;2466;2280;2324;2183;2148;1929;1578;1730;1869;1792;;;;;;;;;;;;;;;;;;;;;;;;;2201;466;454;377;393;374;371;364;344;359;363;294;241;259;239;223;242;185;226;219;203;215;165;179;138;122;4393;4735;4396;3974;3544;3686;4089;3958;4336;4111;3646;3098;3980;4271;3385;3154;2968;2907;2749;2674;2275;1794;2018;2201;2079;
0400000;"KUJAWSKO-POMORSKIE";;2862;2665;2626;2495;2396;2157;2051;2038;1908;1646;1490;1336;1318;1182;1044;1008;1018;949;970;940;827;797;770;785;;;;;;;;;;;;;;;;;;;;;;;;;965;344;321;311;320;290;299;325;347;364;311;231;228;233;222;179;179;153;178;151;171;211;134;122;103;108;3046;3600;3349;3343;3123;3016;2757;2560;2564;2343;1943;1799;1465;1484;1365;1112;1135;1101;1080;1031;974;859;866;857;857;
0600000;"LUBELSKIE";;3538;2705;3043;2644;2586;2446;2211;2419;2358;2093;1820;1797;1625;1497;1408;1252;1262;1242;1216;1139;931;892;785;794;;;;;;;;;;;;;;;;;;;;;;;;;956;393;411;358;354;336;358;322;341;351;372;318;256;252;243;250;195;188;178;157;179;170;156;135;121;121;3673;4411;3459;3954;3372;3287;3160;2757;3051;2955;2674;2288;2250;1877;1795;1667;1436;1484;1432;1286;1233;947;966;815;835;
0800000;"LUBUSKIE";;950;801;799;788;847;860;835;908;906;992;845;823;803;747;717;639;684;682;663;660;607;540;499;443;;;;;;;;;;;;;;;;;;;;;;;;;598;180;185;145;177;180;168;174;147;155;170;137;108;122;99;94;81;92;113;84;79;92;76;71;63;62;1135;1186;1070;1083;1055;1209;1169;1125;1191;1236;1323;1113;1087;1086;1019;957;786;878;855;790;775;677;648;580;536;
1000000;"ŁÓDZKIE";;4712;4814;4631;4628;4826;4753;4554;4847;4773;4709;4157;4270;3905;3830;3986;3991;4222;3787;3759;3351;2436;2306;2209;2127;;;;;;;;;;;;;;;;;;;;;;;;;2619;476;505;452;509;493;440;444;415;447;439;347;320;324;296;263;256;236;214;219;229;239;221;191;164;166;4368;5582;5901;5543;5562;5844;5753;5623;6037;5953;5958;5226;5231;4845;4733;4807;4826;5298;4750;4600;4047;2763;2763;2633;2453;
1200000;"MAŁOPOLSKIE";;5427;5237;5286;4973;4882;4437;4440;4720;4677;4418;4003;4368;3903;3764;3936;3839;3939;3612;3404;3136;2265;2239;2226;2211;;;;;;;;;;;;;;;;;;;;;;;;;2678;426;400;383;375;365;335;334;308;341;344;314;235;313;253;221;234;198;185;194;223;176;157;144;102;117;7040;7051;6814;6820;6373;6355;5596;5692;6146;5973;5603;5046;5427;4777;4659;4805;4619;4764;4310;4003;3716;2563;2590;2615;2561;
1400000;"MAZOWIECKIE";;7627;7224;7224;6805;6375;6452;6617;6881;6910;5763;5190;5128;4490;4579;4385;4006;4078;4048;4034;3802;2960;3086;2896;2799;;;;;;;;;;;;;;;;;;;;;;;;;3553;1123;994;900;1015;905;967;885;849;956;920;786;655;714;587;562;518;487;508;464;448;469;420;375;289;307;8595;9141;8887;8762;8245;7752;7985;8177;8485;8394;7082;6339;6160;5354;5511;5211;4747;4878;4754;4682;4391;3295;3561;3398;3246;
1600000;"OPOLSKIE";;1632;1440;1366;1348;1191;1013;1048;1087;1043;912;836;836;797;791;738;710;754;700;705;614;488;537;438;464;;;;;;;;;;;;;;;;;;;;;;;;;559;193;167;149;141;163;150;148;128;136;141;114;107;100;81;97;104;102;99;78;81;73;65;81;64;49;2177;2196;1944;1756;1725;1536;1294;1325;1395;1281;1128;1028;1000;977;923;857;808;859;849;787;703;538;593;513;510;
1800000;"PODKARPACKIE";;2336;2294;2250;2229;2380;2244;2223;2278;2356;2176;1961;2110;1808;1807;1751;1703;1682;1710;1481;1481;1167;1222;1062;1193;;;;;;;;;;;;;;;;;;;;;;;;;1492;289;267;246;223;250;295;287;260;257;234;220;202;224;184;151;144;136;141;124;125;157;132;95;88;90;3077;2886;2854;2746;2726;3000;2858;2873;2985;3003;2776;2571;2634;2258;2251;2184;2120;2019;2033;1775;1708;1240;1444;1264;1402;
2000000;"PODLASKIE";;1538;1407;1452;1361;1226;1185;1135;1162;1136;1041;847;818;767;738;692;690;686;693;672;585;430;433;333;347;;;;;;;;;;;;;;;;;;;;;;;;;447;226;201;185;209;215;200;211;208;209;162;179;146;152;131;135;126;118;120;114;102;106;78;79;69;76;1963;1910;1723;1877;1742;1572;1490;1425;1441;1482;1353;1125;1008;970;874;793;864;834;802;771;620;451;481;360;371;
